"year","seas","fleet","catch","catch_se"
1981,1,1,5695.5058,0.01
1982,1,1,7789.401,0.01
1983,1,1,7118.2225,0.01
1984,1,1,5402.5743,0.01
1985,1,1,6632.2813,0.01
1986,1,1,6478.347,0.01
1987,1,1,6050.2944,0.01
1988,1,1,5200.9719,0.01
1989,1,1,4477.5699,0.01
1990,1,1,3869.3129,0.01
1991,1,1,4514.2644,0.01
1992,1,1,3896.0727,0.01
1993,1,1,3185.606,0.01
1994,1,1,3746.0595,0.01
1995,1,1,4057.0026,0.01
1996,1,1,4112.8545,0.01
1997,1,1,4170.9166,0.01
1998,1,1,2206.3554,0.01
1999,1,1,3474.8945,0.01
2000,1,1,3567.2818,0.01
2001,1,1,3034.1422,0.01
2002,1,1,2220.4767,0.01
2003,1,1,3105.0506,0.01
2004,1,1,3336.5158,0.01
2005,1,1,3803.8177,0.01
2006,1,1,3656.6557,0.01
2007,1,1,2750.0865,0.01
2008,1,1,2976.2431,0.01
2009,1,1,4135.7759,0.01
2010,1,1,4291.595,0.01
2011,1,1,4689.9933,0.01
2012,1,1,3772.3182,0.01
2013,1,1,2726.9058,0.01
2014,1,1,3119.4358,0.01
2015,1,1,3671.8946,0.01
2016,1,1,3919.568,0.01
2017,1,1,3864.5892,0.01
2018,1,1,3749.8683,0.01
2019,1,1,3668.0483,0.01
2020,1,1,2831.9444,0.01
2021,1,1,3205.237,0.01
2022,1,1,3965.846,0.01
2023,1,1,1050.2454,0.01
1981,1,2,5398.9553,0.01
1982,1,2,9943.9473,0.01
1983,1,2,7533.4799,0.01
1984,1,2,8612.4659,0.01
1985,1,2,7499.9981,0.01
1986,1,2,6671.946,0.01
1987,1,2,6551.1369,0.01
1988,1,2,5542.7247,0.01
1989,1,2,5806.8577,0.01
1990,1,2,5196.7777,0.01
1991,1,2,4999.8124,0.01
1992,1,2,5503.9911,0.01
1993,1,2,4965.8144,0.01
1994,1,2,3832.8523,0.01
1995,1,2,3864.8332,0.01
1996,1,2,4208.1787,0.01
1997,1,2,3773.1066,0.01
1998,1,2,2205.2335,0.01
1999,1,2,3168.9562,0.01
2000,1,2,2759.5788,0.01
2001,1,2,2623.6178,0.01
2002,1,2,1599.4629,0.01
2003,1,2,2331.9126,0.01
2004,1,2,2448.2655,0.01
2005,1,2,2419.6304,0.01
2006,1,2,2544.6901,0.01
2007,1,2,2497.8853,0.01
2008,1,2,2898.1441,0.01
2009,1,2,3062.7893,0.01
2010,1,2,2552.8264,0.01
2011,1,2,1735.8936,0.01
2012,1,2,1532.186,0.01
2013,1,2,1426.0832,0.01
2014,1,2,1323.0158,0.01
2015,1,2,1510.6948,0.01
2016,1,2,1516.6718,0.01
2017,1,2,1827.7633,0.01
2018,1,2,1622.3373,0.01
2019,1,2,1710.3496,0.01
2020,1,2,1122.6281,0.01
2021,1,2,1708.0526,0.01
2022,1,2,2405.7017,0.01
2023,1,2,849.5224,0.01
