"year","month","fleet","sex","partition","InputN","U18","U20","U22","U24","U26","U28","U30","U32","U34","U36","U38","U40","U42","U44","U46","U48","U50","U52","U54","U56","U58","U60","U62","U64","U66","U68","U70","U72","U74","U76","U78","U80","U82","U84","U86","U88","U90","U18","U20","U22","U24","U26","U28","U30","U32","U34","U36","U38","U40","U42","U44","U46","U48","U50","U52","U54","U56","U58","U60","U62","U64","U66","U68","U70","U72","U74","U76","U78","U80","U82","U84","U86","U88","U90"
2003,7,7,0,0,14,4.1358641131648,12.4074787293386,37.2223225778599,0,0,0,0,0,0,0,0,0,0,0,0,22.2454365640653,7.35568953979934,0,0,1.96113851009369,1.96113851009369,0,0.942509852840765,0,11.7684216027439,0,0,0,0,0,0,0,0,0,0,0,0,4.1358641131648,12.4074787293386,37.2223225778599,0,0,0,0,0,0,0,0,0,0,0,0,22.2454365640653,7.35568953979934,0,0,1.96113851009369,1.96113851009369,0,0.942509852840765,0,11.7684216027439,0,0,0,0,0,0,0,0,0,0,0,0
2004,7,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94646067933232,82.160617962003,5.94646067933232,5.94646067933232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94646067933232,82.160617962003,5.94646067933232,5.94646067933232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,7,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,88.7861425970237,0,3.20397628149518,1.06801195458402,1.06795237232714,2.67000009533161,1.60198814074759,1.06795237232714,0.53397618616357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.7861425970237,0,3.20397628149518,1.06801195458402,1.06795237232714,2.67000009533161,1.60198814074759,1.06795237232714,0.53397618616357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,7,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,7,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.40146366712356,26.1419622916407,13.0709212380304,28.5434259587643,13.0709212380304,13.0709212380304,0,3.70038436838019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.40146366712356,26.1419622916407,13.0709212380304,28.5434259587643,13.0709212380304,13.0709212380304,0,3.70038436838019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,7,7,0,0,119,4.32314225400109,7.27899303183105,23.4358966659109,38.8175836648771,10.6079695569531,0.620032663707686,0,0,0,0,0,0,0,0.161208872683953,1.18981346943655,1.15913778911211,2.53405067037005,3.46332992302381,1.60479042371401,2.12437638945722,0.721790775515029,1.23609307389133,0.368697349822684,0,0.353093425692346,0,0,0,0,0,0,0,0,0,0,0,0,1.44141486728967,7.27899303183105,23.4358966659109,38.8175836648771,10.6079695569531,0.620032663707686,0,0,0,0,0,0,0,0.161208872683953,1.18981346943655,1.15913778911211,2.53405067037005,3.46332992302381,1.60479042371401,2.12437638945722,0.721790775515029,1.23609307389133,0.368697349822684,0,0.353093425692346,0,0,0,0,0,0,0,0,0,0,0,0
2009,7,7,0,0,16,0,4.68556871966477,11.7644715478667,40.552957187216,11.7644715478667,0.869520278039768,0.869520278039768,23.5583362403476,4.50522616571274,0,0,0,0,0,0,0,0,0,1.42992803524593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.68556871966477,11.7644715478667,40.552957187216,11.7644715478667,0.869520278039768,0.869520278039768,23.5583362403476,4.50522616571274,0,0,0,0,0,0,0,0,0,1.42992803524593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,7,0,0,59,0.150680139682596,5.49834272357196,26.9971784533181,50.6140761094131,14.3841077483267,0.160898270674561,0.167871958614332,0,0,0,0,0,0,0,0.824386874848033,0,0,0,0,0,0,0,0,0,0,0,1.20245772155071,0,0,0,0,0,0,0,0,0,0,0.150680139682596,5.49834272357196,26.9971784533181,50.6140761094131,14.3841077483267,0.160898270674561,0.167871958614332,0,0,0,0,0,0,0,0.824386874848033,0,0,0,0,0,0,0,0,0,0,0,1.20245772155071,0,0,0,0,0,0,0,0,0,0
2011,7,7,0,0,16,1.09217119901599,19.0451990677081,30.9106710995131,28.8062683476104,13.0936867917443,0,0,0,1.02954618791326,0.809402971146397,0,0,0,0,1.0425883805307,1.0425883805307,2.08528919375639,0,1.0425883805307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09217119901599,19.0451990677081,30.9106710995131,28.8062683476104,13.0936867917443,0,0,0,1.02954618791326,0.809402971146397,0,0,0,0,1.0425883805307,1.0425883805307,2.08528919375639,0,1.0425883805307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,7,7,0,0,15,6.85814368001982,6.02577954565787,17.3230839108383,30.758246220124,0,0,0,0,0,0,8.12269026694837,0,0,5.50000344094309,3.41203917169618,5.50000344094309,5.50000344094309,5.50000344094309,5.50000344094309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.85814368001982,6.02577954565787,17.3230839108383,30.758246220124,0,0,0,0,0,0,8.12269026694837,0,0,5.50000344094309,3.41203917169618,5.50000344094309,5.50000344094309,5.50000344094309,5.50000344094309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
